ITEMNMBR,ITEMDESC,CostToday,CostThen,Diff,AbsDiff,PctChange
MAC3410W                       ,Dyna Flo 3-4-10 W                                                                                    ,705.90071,1070.89844,-364.99772999999993,364.99772999999993,-34.083318862617816
MAC2401                        ,Dyna Flo 24-0-1 Spring Turf Mix                                                                      ,220.015,465.96357,-245.94857000000002,245.94857000000002,-52.7827894356634
MAC525YM1                      ,Dyna Flo 5-2-5YM1                                                                                    ,424.6208,235.98218,188.63861999999997,188.63861999999997,79.93765461442892
AMNITSUL00                     ,Amonium Nitrate w/ Sulfur                                                                            ,496.45764,376.78,119.67764000000005,119.67764000000005,31.76326768936782
MAC628YM8I                     ,Dyna Flo 6-2-8YM8 w Integrate 80                                                                     ,380.31582,279.07086,101.24495999999999,101.24495999999999,36.2793019665328
MAC927YM1                      ,Dyna Flo 9-2-7YM1                                                                                    ,328.62272,409.9885,-81.36577999999997,81.36577999999997,-19.84586884754084
MAC507YB10                     ,Dyna Flo 5-0-7YB10                                                                                   ,286.98741,223.14217,63.84524000000002,63.84524000000002,28.611911410559475
MAC526YP1                      ,Dyna Flo 5-2-6YP1                                                                                    ,155.0,215.3475,-60.3475,60.3475,-28.023311159869515
MAC927YM3                      ,Dyna Flo 9-2-7YM3                                                                                    ,387.47916,343.74457,43.73458999999997,43.73458999999997,12.722990795170952
MACBAK2004                     ,Dyna Zone 20-0-4 35% SRN .8Fe .2Mn                                                                   ,500.0,457.51908,42.480920000000026,42.480920000000026,9.285059761879227
MAC1505Z                       ,Dyna Flo 15-0-5                                                                                      ,408.56803,372.72474,35.843290000000025,35.843290000000025,9.616557784707295
MAC537YM                       ,Dyna Flo 5-3-7YM                                                                                     ,136.83283,168.19106,-31.358229999999992,31.358229999999992,-18.644409518555857
MAC646YM                       ,Dyna Flo 6-4-6 YM                                                                                    ,340.99561,371.55718,-30.561570000000017,30.561570000000017,-8.225266969676111
MAC426YP1                      ,Dyna Flo 4-2-6YP1                                                                                    ,192.65026,222.79788,-30.14761999999999,30.14761999999999,-13.531376510404852
MAC927YM5                      ,Dyna Flo 9-2-7YM5 w/Merge                                                                            ,392.54692,365.90472,26.642200000000003,26.642200000000003,7.281185112889499
ZZTANKRESMALL                  ,Tanks for Resale DO NOT USE----USE:  ZZTANKRESALE                                                    ,838.82,813.82,25.0,25.0,3.0719323683369786
BIA430805                      ,Nutri Phite P-Foliar 4-30-8                                                                          ,2.53,27.5,-24.97,24.97,-90.8
MAC927YM13                     ,Dyna Flo 9-2-7YM13                                                                                   ,408.50289,429.85801,-21.35512,21.35512,-4.967947439202075
MAC628YM8M                     ,Dyna Flo 6-2-8YM8M w/Merge                                                                           ,389.55514,368.8729,20.68223999999998,20.68223999999998,5.606874346150118
MAC528YZ                       ,Dyna Flo 5-2-8 YZ                                                                                    ,389.7288,408.97078,-19.241980000000012,19.241980000000012,-4.7049767222978645
MAC528YM1                      ,Dyna Flo 5-2-8YM1                                                                                    ,333.20171,351.88999,-18.68828000000002,18.68828000000002,-5.310830239871279
MAC805YF                       ,Dyna Flo 8-0-5 YF                                                                                    ,366.05,347.4022,18.647800000000018,18.647800000000018,5.3677840842689015
FREIGHT                        ,Freight Charge:                                                                                      ,33.5,16.04,17.46,17.46,108.85286783042396
MAC828YM5                      ,Dyna Flo 8-2-8YM5                                                                                    ,331.77552,314.34886,17.42665999999997,17.42665999999997,5.543732526976548
MAC628XH                       ,Dyna Flo 6-2-8XH                                                                                     ,171.0,155.85312,15.14688000000001,15.14688000000001,9.71868898100982
MAC425DRY50#                   ,4-2-5  Dry Bagged                                                                                    ,496.0,511.11,-15.110000000000014,15.110000000000014,-2.956310774588643
TAGCULBP602                    ,Culbac BP-6                                                                                          ,2.0875,16.7,-14.612499999999999,14.612499999999999,-87.5
MAC448HM                       ,Dyna Flo 4-4-8 HM  w/Merge                                                                           ,353.94088,340.49177,13.449110000000019,13.449110000000019,3.949907511714606
MAC526YM                       ,Dyna Flo 5-2-6YM                                                                                     ,300.75547,288.16262,12.592849999999999,12.592849999999999,4.370049800352314
MAC527YM2                      ,Dyna Flo 5-2-7YM2                                                                                    ,364.26236,376.31269,-12.050329999999974,12.050329999999974,-3.2022119689878052
MAC725YZ2I                     ,Dyna Flo 7-2-5 YZ2I with Integrate 80                                                                ,369.41969,381.20055,-11.780860000000018,11.780860000000018,-3.090462487527895
MAC507YA8                      ,Dyna Flo 5-0-7YA8 with Citra Guard                                                                   ,463.67316,452.0,11.673159999999996,11.673159999999996,2.582557522123893
MAC400XT                       ,Dyan Flo 4-0-0XT - Tank A Starter Mix                                                                ,301.15424,289.592,11.562240000000031,11.562240000000031,3.9925964805657723
MAC626YM11                     ,Dyna Flo 6-2-6YM11                                                                                   ,352.73236,341.33333,11.399030000000039,11.399030000000039,3.339559602925398
MAC609XK                       ,Dyna Flo 6-0-9 XK                                                                                    ,284.10023,295.11951,-11.01927999999998,11.01927999999998,-3.733836505759982
MAC727YM5                      ,Dyna Flo 7-2-7YM5                                                                                    ,337.05089,326.43955,10.611339999999984,10.611339999999984,3.2506294044333734
ZON15015250                    ,Dyna Zone 15-0-15                                                                                    ,3.46,13.41189,-9.951889999999999,9.951889999999999,-74.20199539363952
MAC707YB11                     ,Dyna Flo 7-0-7YB11                                                                                   ,318.93282,309.8207,9.112120000000004,9.112120000000004,2.9410946395770217
MAC1604ZH                      ,Dyna Flo 16-0-4ZH                                                                                    ,178.0,186.6999,-8.699900000000014,8.699900000000014,-4.659831097927751
MAC1104REG                     ,Dyna Flo 11-0-4Reg                                                                                   ,146.6,138.24998,8.35002,8.35002,6.0397983421046435
ZZ55GAL                        ,55 Gallon Drum                                                                                       ,18.0,26.0026,-8.002600000000001,8.002600000000001,-30.77615315391538
GRPNANOPRO02                   ,NanoPro                                                                                              ,72.0,80.0,-8.0,8.0,-10.0
MAC927YM14                     ,Dyna Flo 9-2-7YM14                                                                                   ,309.06337,301.4579,7.605470000000025,7.605470000000025,2.522896231944834
MACZON2004                     ,Dyna Zone 20-0-4 .6Fe .2Mn EDTA                                                                      ,427.29654,420.0,7.296539999999993,7.296539999999993,1.737271428571427
MAC508YB3                      ,Dyna Flo 5-0-8YB3                                                                                    ,288.0,295.15876,-7.1587599999999725,7.1587599999999725,-2.42539303254966
MAC727YM3                      ,Dyna Flo 7-2-7YM3                                                                                    ,329.58542,322.64391,6.941509999999994,6.941509999999994,2.1514461562283924
MAC446XG                       ,Dyna Flo 4-4-6 XG                                                                                    ,453.28707,460.0,-6.712929999999972,6.712929999999972,-1.459332608695646
MAC1040YI                      ,Dyna Flo 10-4-0 YI                                                                                   ,457.284,450.66667,6.617329999999981,6.617329999999981,1.4683424447607765
MAC549DRY50#                   ,5-4-9  Dry Bagged                                                                                    ,536.41026,530.0,6.410259999999994,6.410259999999994,1.2094830188679233
MRCCCN02                       ,Copper Count N                                                                                       ,15.31313,9.18821,6.1249199999999995,6.1249199999999995,66.66064445631956
MAC426YM                       ,Dyna Flo 4-2-6YM                                                                                     ,302.29776,308.15125,-5.853490000000022,5.853490000000022,-1.8995509510346047
MAC4012ZH                      ,Dyna Flo 4-0-12                                                                                      ,454.78618,449.3079,5.478279999999984,5.478279999999984,1.2192707940367804
MAC608YB1                      ,Dyna Flo 6-0-8YB1                                                                                    ,448.44263,443.17268,5.269949999999994,5.269949999999994,1.1891414425636513
MAC1206ZF                      ,Dyna Flo 12-0-6ZF                                                                                    ,106.0,111.22443,-5.224429999999998,5.224429999999998,-4.697196470235899
MAC628YM8                      ,Dyna Flo 6-2-8YM8                                                                                    ,334.61359,329.65689,4.956700000000012,4.956700000000012,1.503593630334865
MAC1604S                       ,Dyna Flo 16-0-4S                                                                                     ,186.375,181.748,4.6270000000000095,4.6270000000000095,2.545832691418893
BIAMZ02                        ,Nutri Phite MZ 3-26-7                                                                                ,0.54,4.9603,-4.4203,4.4203,-89.1135616797371
MAC909XS                       ,9-0-9 Fertigation Nutrient                                                                           ,489.97158,485.62688,4.344699999999989,4.344699999999989,0.8946580551719026
SOARPEA250                     ,Soar Peanut                                                                                          ,5.92255,1.664,4.2585500000000005,4.2585500000000005,255.9224759615385
MAC628YM5                      ,Dyna Flo 6-2-8YM5 w/integrate 80                                                                     ,319.67004,315.45415,4.215889999999945,4.215889999999945,1.3364509549168855
MAC727YM15                     ,Dyna Flo 7-2-7YM15                                                                                   ,334.07898,338.0,-3.9210199999999986,3.9210199999999986,-1.160065088757396
FLO002902                      ,Dyna Flo 0-0-29 Potassium Acetate / K-29 Foliar Potassium / GV Ace 29 / JRM Ace 0-0-25               ,8.79667,12.63934,-3.84267,3.84267,-30.402457723267197
MAC608YB5                      ,Dyna Flo 6-0-8 YB5                                                                                   ,300.89828,304.29207,-3.393790000000024,3.393790000000024,-1.1153067511749561
FLO0029250                     ,Dyna Flo 0-0-29 Potassium Acetate / K-29 Foliar Potassium / GV Ace 29 / JRM Ace 0-0-25               ,7.8652,11.21363,-3.3484300000000005,3.3484300000000005,-29.86035744000828
MAC608YB11                     ,Dyna Flo 6-0-8YB11                                                                                   ,308.96813,312.0,-3.0318700000000263,3.0318700000000263,-0.9717532051282136
MAC727YM7                      ,Dyna Flo 7-2-7YM7                                                                                    ,329.10603,332.0,-2.8939700000000244,2.8939700000000244,-0.8716777108433809
GROCU02                        ,Dyna Gro Copper                                                                                      ,15.90522,13.04577,2.8594500000000007,2.8594500000000007,21.918598902172896
ZON1201502                     ,ZoneAce 12-0-15                                                                                      ,7.97478,5.32233,2.65245,2.65245,49.836255925506315
ZON200402                      ,Dyna Zone 20-0-4 .6Fe .2Mn EDTA                                                                      ,5.88235,3.32093,2.5614199999999996,2.5614199999999996,77.12959923876743
HARPHOSMAX02                   ,MAX Phosphorus Plus                                                                                  ,7.77432,10.30988,-2.5355599999999994,2.5355599999999994,-24.593496723531207
MAC426YP9                      ,Dyna Flo 4-2-6YP9                                                                                    ,151.0,148.68069,2.3193100000000015,2.3193100000000015,1.55992684725905
FLO003702                      ,Dyna Flo 0-0-37                                                                                      ,6.64594,8.85606,-2.210119999999999,2.210119999999999,-24.95601881649401
OMFISHEM02                     ,Omega Grow Fish Emulsion Protein 4-1-1                                                               ,9.212,7.00554,2.20646,2.20646,31.4959303636836
MAC426SYM2                     ,Dyna Flo 4-2-6SYM2                                                                                   ,173.33333,175.51891,-2.185580000000016,2.185580000000016,-1.2452105587939304
MAC526YM3I                     ,Dyna Flo 5-2-6 YM3I w/integrate 20                                                                   ,360.0,362.02605,-2.026049999999998,2.026049999999998,-0.5596420478581576
MAC845YX                       ,Dyna Flo 8-4-5 YX                                                                                    ,303.38262,305.39451,-2.011890000000051,2.011890000000051,-0.65878394474087
MAC428YY                       ,Dyna Flo 4-2-8YY                                                                                     ,160.0,158.0,2.0,2.0,1.2658227848101267
MAC606YF1                      ,Dyna Flo 6-0-6YF1                                                                                    ,136.0,134.0,2.0,2.0,1.4925373134328357
MAC526YM6                      ,Dyna Flo 5-2-6 YM6                                                                                   ,302.04642,304.0,-1.953579999999988,1.953579999999988,-0.6426249999999961
MAC526YP2                      ,Dyna Flo 5-2-6YP2                                                                                    ,325.92826,324.0,1.928260000000023,1.928260000000023,0.595141975308649
MAC946XF                       ,Dyna Flo 9-4-6XF                                                                                     ,228.0,226.13283,1.8671699999999873,1.8671699999999873,0.8256961185158241
MAC1407ZF                      ,Dyna Flo 14-0-7                                                                                      ,202.14117,204.0,-1.8588300000000118,1.8588300000000118,-0.911191176470594
MAC408YB4I                     ,Dyna Flo 4-0-8YB4I w/Integrate 20                                                                    ,268.0,269.85402,-1.8540199999999913,1.8540199999999913,-0.6870455366942436
MAC1128H                       ,Dyna Flo 11-2-8 H                                                                                    ,304.0,302.16292,1.8370800000000145,1.8370800000000145,0.6079766504771713
MAC626XF                       ,Dyna Flo 6-2-6XF                                                                                     ,256.0,257.81881,-1.818809999999985,1.818809999999985,-0.705460551927916
KEYCAMGB+02                    ,Key Plex Calcium Magnesium Boron Plus                                                                ,4.95868,3.15315,1.80553,1.80553,57.26115154686583
ZON1201500                     ,ZoneAce 12-0-15                                                                                      ,6.59056,8.38669,-1.7961299999999998,1.7961299999999998,-21.416434850936422
ZZLIDS                         ,Lids for 5 Gallon White Pails                                                                        ,3.59029,1.81,1.78029,1.78029,98.35856353591159
MAC2400                        ,Dyna Flo 24-0-0                                                                                      ,194.22592,196.0,-1.7740799999999979,1.7740799999999979,-0.9051428571428561
MAC534YY                       ,Dyna Flo 5-3-4 YY                                                                                    ,488.0,489.74887,-1.7488700000000108,1.7488700000000108,-0.35709525986247004
GROFE1002                      ,Dyna Gro Iron 10%                                                                                    ,8.578,6.84599,1.7320099999999998,1.7320099999999998,25.299627957388193
