Ticker,Event,Subtitle,Bid,Ask,Last,Volume
KXMVESPORTSMULTIGAMEEXTENDED-S2025FADF251CDBC-BFBAB677B8F,"yes Rhamondre Stevenson,yes Jaxon Smith-Njigba,yes Kenneth Walker III,yes Sam Darnold: 2+,yes Drake Maye: 175+,yes Sam Darnold: 200+,no Over 45.5 points scored,yes Seattle",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025B493771A571-0E48222EFD6,"yes Pascal Siakam: 1+,yes LeBron James: 1+,yes Kevin Durant: 1+,yes Desmond Bane: 1+,yes Paolo Banchero: 1+,yes Kon Knueppel: 1+,yes Miles Bridges: 1+,yes Anthony Edwards: 2+,yes Coby White: 2+,yes Nikola Vučević: 2+,yes Paolo Banchero: 2+,yes Derrick White: 2+,yes Nikola Vučević: 10+,yes Alperen Sengun: 15+,yes Anthony Edwards: 2+,yes Pascal Siakam: 6+,yes Nikola Vučević: 6+,yes Luka Dončić: 6+,yes Alperen Sengun: 6+,yes Amen Thompson: 4+,yes Kevin Durant: 2+,yes Donovan Mitchell: 2+,yes Paolo Banchero: 6+,yes Kon Knueppel: 2+,yes Derrick White: 2+,yes Payton Pritchard: 2+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S202507B2ACA99B5-99B9BF77223,"yes Josh Giddey: 6+,yes Atlanta,yes Cleveland,yes Luka Dončić: 30+,yes Los Angeles L wins by over 1.5 Points",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025B575C309810-ED7D72A0362,"yes Nickeil Alexander-Walker: 1+,yes Luka Dončić: 2+,yes LaMelo Ball: 2+,yes Evan Mobley: 1+,yes CJ McCollum: 10+,yes Pascal Siakam: 15+,yes Miles Bridges: 10+,yes Pascal Siakam: 6+,yes Nikola Vučević: 6+,yes Luka Dončić: 6+,yes Donovan Mitchell: 2+,yes Evan Mobley: 6+,yes Kon Knueppel: 4+,yes Donovan Mitchell: 1+,yes Tyrese Maxey: 1+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025854622BBAAD-51F47C1F30E,"yes Cleveland,yes Donovan Mitchell: 25+,yes Donovan Mitchell: 2+,yes Evan Mobley: 4+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20250F107D46E44-CD78809D742,"yes Stephen Curry: 25+,yes Anthony Edwards: 20+,yes Julius Randle: 15+,yes CJ McCollum: 15+,yes Nickeil Alexander-Walker: 10+,yes Pascal Siakam: 15+,yes Coby White: 15+,yes Josh Giddey: 10+,yes Nikola Vučević: 10+,yes Luka Dončić: 35+,yes Alperen Sengun: 15+,yes Kevin Durant: 20+,yes Jaren Jackson Jr.: 10+,yes Evan Mobley: 15+,yes Desmond Bane: 15+,yes Paolo Banchero: 20+,yes Kon Knueppel: 15+,yes LaMelo Ball: 15+,yes Miles Bridges: 10+,yes VJ Edgecombe: 10+,yes Derrick White: 15+,yes Jaylen Brown: 20+,yes Payton Pritchard: 10+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S202567D36F526A0-7E4AD650FDB,"yes Kenneth Walker III,yes Drake Maye: 200+,yes Sam Darnold: 200+,yes Drake Maye: 10+,yes Seattle",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025D42BC41C012-6D9EA11339F,"yes Julius Randle: 2+,yes Alperen Sengun: 2+,yes Derrick White: 2+,yes Jaylen Brown: 2+,yes Payton Pritchard: 2+,yes CJ McCollum: 10+,yes Nickeil Alexander-Walker: 10+,yes Pascal Siakam: 15+,yes Josh Giddey: 10+,yes Nikola Vučević: 10+,yes Kevin Durant: 20+,yes Miles Bridges: 10+,yes Jaylen Brown: 20+,yes Payton Pritchard: 10+,yes Nikola Vučević: 6+,yes Amen Thompson: 4+,yes Kevin Durant: 2+,yes Donovan Mitchell: 2+,yes Evan Mobley: 4+,yes Kon Knueppel: 2+,yes LaMelo Ball: 2+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025F086409E9F6-FCF5C33F365,"yes Stephen Curry: 3+,yes Draymond Green: 2+,yes Jaylen Brown: 2+,yes Anthony Edwards: 20+,yes Jaylen Brown: 20+,yes Draymond Green: 4+,yes Anthony Edwards: 4+,yes Stephen Curry: 1+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S202536F77ADB79B-79F4F7C73FA,"yes Jaxon Smith-Njigba,yes Sam Darnold: 1+,yes Stefon Diggs: 3+,yes Cooper Kupp: 1+,yes Over 40.5 points scored,yes Seattle",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025B0F3C8E2087-42ECE5D1AE7,"yes Kon Knueppel: 2+,yes LaMelo Ball: 2+,yes Miles Bridges: 1+,yes Tyrese Maxey: 2+,yes VJ Edgecombe: 1+,yes Kon Knueppel: 2+,yes LaMelo Ball: 4+,yes Miles Bridges: 2+,yes Tyrese Maxey: 6+,yes VJ Edgecombe: 2+,yes Kon Knueppel: 15+,yes Miles Bridges: 10+,yes Tyrese Maxey: 25+,yes VJ Edgecombe: 10+,yes Kon Knueppel: 2+,yes LaMelo Ball: 2+,yes Tyrese Maxey: 1+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S202552FD1FE0847-9768D7291AE,"yes Derrick White: 15+,no Boston wins by over 9.5 Points",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S202535320F1239E-10ADC9F37B2,"yes Nickeil Alexander-Walker: 1+,yes Pascal Siakam: 1+,yes Nickeil Alexander-Walker: 2+,yes Minnesota,yes Atlanta,yes Los Angeles L,yes Houston,yes Cleveland,yes Charlotte,yes Boston,yes CJ McCollum: 10+,yes Jalen Johnson: 20+,yes Pascal Siakam: 15+,yes Pascal Siakam: 4+,yes Kon Knueppel: 2+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025A752E69654D-42D739E12B3,"yes LaMelo Ball: 2+,yes Miles Bridges: 1+,yes Tyrese Maxey: 2+,yes VJ Edgecombe: 1+,yes Kon Knueppel: 2+,yes LaMelo Ball: 4+,yes Miles Bridges: 2+,yes Tyrese Maxey: 6+,yes VJ Edgecombe: 2+,yes Kon Knueppel: 15+,yes Miles Bridges: 10+,yes Tyrese Maxey: 25+,yes VJ Edgecombe: 10+,yes Kon Knueppel: 2+,yes LaMelo Ball: 2+,yes Tyrese Maxey: 1+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20251EAEB11E6F7-823544E184D,"yes Anthony Edwards: 20+,yes Pascal Siakam: 15+,yes Kevin Durant: 20+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20252395EF12235-F1D0C01A13B,"yes Drake Maye: 1+,yes Sam Darnold: 1+,yes Sam Darnold: 175+,yes Rhamondre Stevenson: 10+,yes Cooper Kupp: 20+,yes Kenneth Walker III: 20+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20252FB498BF667-7FB6F4E6431,"yes Hunter Henry: 3+,yes Kenneth Walker III: 2+,yes Kenneth Walker III: 60+,yes Seattle wins by over 5.5 points,yes Over 45.5 points scored",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20256A9C97372AE-AFDAC812EEA,"yes Kenneth Walker III,yes Rhamondre Stevenson,yes Jaxon Smith-Njigba,yes Drake Maye: 1+,yes Sam Darnold: 1+,yes Kayshon Boutte: 1+,yes AJ Barner: 1+,yes Cooper Kupp: 1+,yes Stefon Diggs: 30+,yes Drake Maye: 10+,yes Rhamondre Stevenson: 40+,yes Kenneth Walker III: 60+,yes Seattle",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20254B6587A730E-B5E4CB3FF1D,"yes Jaxon Smith-Njigba,yes Sam Darnold: 175+,yes TreVeyon Henderson: 30+,yes Seattle",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S202503AFE880E79-607E92AAA00,"yes Jalen Johnson: 6+,yes LaMelo Ball: 4+,yes CJ McCollum: 10+,yes Miles Bridges: 10+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025F3E424CD213-D18FC5DF423,"yes Jaxon Smith-Njigba,yes Sam Darnold: 1+,yes Stefon Diggs: 3+,yes Cooper Kupp: 1+,yes Jaxon Smith-Njigba: 7+,yes Over 40.5 points scored,yes Seattle",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S20254355E918BE4-C1E01CF3208,"yes Over 140.5 points scored,no Over 156.5 points scored",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S202514C5D20BA85-07BFA03D4D9,"yes Drake Maye: 175+,yes Sam Darnold: 225+,yes Rashid Shaheed: 2+,yes Stefon Diggs: 30+",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025150A84EDE93-6BBA12BFA4D,"yes Jaxon Smith-Njigba,yes Jaxon Smith-Njigba: 8+,yes Seattle wins by over 6.5 points",,0.0,0.0,0.0,0
KXMVESPORTSMULTIGAMEEXTENDED-S2025762F631C1C9-6D31A944804,"no Over 248.5 points scored,no Over 252.5 points scored,no Over 225.5 points scored,no Over 242.5 points scored",,0.0,0.0,0.0,0
