Event,Question,Outcome,Date,Timestamp,Price,Volume
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769440874,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769440934,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769440994,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769441054,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769441115,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769441174,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769441234,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769441295,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769441354,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769441421,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769441474,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769441534,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769441594,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769441654,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769441715,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769441774,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769441834,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769441894,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769441955,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442016,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442074,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442150,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442194,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442254,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442318,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442374,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442435,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442495,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442555,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442615,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442674,0.059,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442734,0.0605,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442795,0.0605,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442855,0.0605,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442915,0.0605,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769442974,0.0605,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443034,0.0605,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443093,0.0605,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443153,0.0605,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443221,0.0605,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443275,0.0605,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443335,0.0605,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443395,0.0605,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443454,0.0605,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443515,0.0605,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443574,0.0605,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443634,0.0595,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443711,0.0595,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443755,0.0595,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443818,0.0595,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443875,0.0595,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443934,0.0595,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769443993,0.0595,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769444054,0.0595,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769444115,0.0595,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769444174,0.0595,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769444234,0.0595,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769444295,0.0595,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769444355,0.0595,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769444415,0.0595,0
How many people will Trump deport in 2025?,"Will Trump deport less than 250,000?",Yes,2026-01-26,1769444415,0.0595,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769440872,0.0485,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769440932,0.0565,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769440992,0.05,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769441052,0.05,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769441113,0.056,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769441172,0.05,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769441232,0.058,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769441293,0.051,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769441352,0.046,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769441416,0.054,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769441472,0.051,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769441533,0.055,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769441593,0.0515,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769441652,0.0555,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769441713,0.0465,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769441772,0.045,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769441832,0.057,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769441892,0.054,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769441953,0.059,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769442013,0.054,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769442072,0.0465,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769442140,0.055,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769442192,0.05,0
"Will Trump deport 750,000 or more people in 2025?","Will Trump deport 750,000 or more people in 2025?",Yes,2026-01-26,1769442252,0.0475,0
