ITEMNMBR,UOFM,Description,MinCost,MaxCost,AvgCost,TxCount,VendorCount,SpreadPct
LABELS                         ,Each     ,THRESHOLD CAUTION PLUS                                                                               ,0.10514,4018.29,169.67660785714287,28,3,3821747.0610614414
SALES TAX                      ,         ,                                                                                                     ,0.19,672.07,15.147868525896413,502,58,353621.05263157893
INVOICES                       ,Each     ,                                                                                                     ,0.15665,156.65,78.40332500000001,2,1,99899.99999999999
LABOR CHARGES                  ,each     ,Labor Charges for Repair Work                                                                        ,9.5,6438.0,914.8571428571429,63,8,67668.42105263159
MISC-FREIGHT CH                ,Each     ,Brenntag                                                                                             ,17.48,8709.0,1133.2045,20,9,49722.654462242564
PARTS FOR REPAIR               ,Each     ,                                                                                                     ,36.56,16026.96,3244.8807407407407,27,3,43737.41794310721
FREIGHT                        ,Each     ,                                                                                                     ,4.98,1207.5,66.09434782608696,46,17,24146.987951807227
SALES TAX                      ,EACH     ,                                                                                                     ,0.49,111.72,14.753387096774194,124,29,22700.0
GASKETS                        ,Each     ,"1"" VITON GASKETS                                                                                     ",0.35,64.95,11.17,7,2,18457.142857142862
FLOKTS00                       ,GAL12.30 ,Dyna Flo KTS 0-0-25 17                                                                               ,1.739,280.0,140.8695,2,1,16001.207590569295
DRUM PUMP                      ,Each     ,                                                                                                     ,4.5,713.2,358.85,2,2,15748.88888888889
FREIGHT CHARGE                 ,Each     ,                                                                                                     ,8.0,1205.0,138.42666666666665,48,17,14962.5
MILEAGE CHARGE                 ,Each     ,Round Trip Maileage                                                                                  ,1.2,150.4,20.823076923076922,26,4,12433.333333333336
"2"" GREEN HOSE                  ",Each     ,100 ft length                                                                                        ,1.08,134.32,61.39425,4,3,12337.037037037035
ENVIRO CHARGE                  ,         ,                                                                                                     ,0.25,25.0,12.625,2,1,9900.0
SHIPPING CHARGES               ,Each     ,                                                                                                     ,0.43,37.74,10.415000000000001,6,2,8676.744186046513
PARTS                          ,Each     ,Repair #17 Forklift                                                                                  ,13.0,994.43,503.715,4,2,7549.461538461539
SHOP SUPPLIES                  ,each     ,Shop Supplies for Truck Repair                                                                       ,5.5,393.0,84.82933333333334,30,3,7045.454545454545
LABOR CHARGE                   ,Each     ,2 men for the repair                                                                                 ,60.4,4263.94,640.1314893617022,47,11,6959.503311258279
MISC PARTS                     ,Each     ,                                                                                                     ,20.0,1399.8,307.116,5,3,6898.999999999999
PVC FITTINGS                   ,Each     ,                                                                                                     ,8.22,554.75,196.68900000000002,10,3,6648.783454987834
