ITEMNMBR,ITEMDESC,CURRCOST,STNDCOST,UOMSCHDL,DECPLQTY
NPKAN                          ,Ammonium Nitrate 21%                                                                                 ,0.24639,0.2464,LBS        ,6
NPK3400                        ,"Ammonium Nitrate, Dry 34% ( DO NOT USE )                                                             ",0.283,0.5,LBS        ,6
AMNITSUL00                     ,Amonium Nitrate w/ Sulfur                                                                            ,496.45764,378.76,TON        ,6
NO3CA                          ,Calcium Nitrate 11% / CN9                                                                            ,0.1248,0.135,LBS        ,6
NO3CABG                        ,Calcium Nitrate 11% 50 lb. Bags                                                                      ,0.24,0.25,LBS        ,6
NO3CAMIC                       ,Calcium Nitrate 11.8%Ca                                                                              ,0.10774,0.154,LBS        ,6
NO3CA12                        ,Calcium Nitrate 12%                                                                                  ,0.13547,0.15,LBS        ,6
NO3CODRY                       ,Cobalt Nitrate 19.8%                                                                                 ,7.0922,7.6801,LBS        ,6
NO3CU                          ,Copper Nitrate 14%                                                                                   ,1.14072,1.25,LBS        ,6
REC-NO3CU                      ,Copper Nitrate Solution - Receiving item for dilution                                                ,1.4556,0.97,LBS        ,6
SORCA02                        ,Dyna Cal 10.25%                                                                                      ,5.405,2.9892,GAL11.77   ,6
SORCA250                       ,Dyna Cal 10.25%                                                                                      ,3.89218,2.5016,GAL11.77   ,6
SORCA05                        ,Dyna Cal 10.25%                                                                                      ,3.448,2.9892,GAL11.77   ,6
SORCA00                        ,Dyna Cal 10.25%                                                                                      ,3.39218,2.0273,GAL11.77   ,6
SORCA30                        ,Dyna Cal 10.25%                                                                                      ,4.72567,2.9892,GAL11.77   ,6
SORCA55                        ,Dyna Cal 10.25%                                                                                      ,3.71945,2.9892,GAL11.77   ,6
DYNA CAL 10.25%  (FLAT)        ,Dyna Cal 10.25%  (Flat)                                                                              ,0.1457,0.0,EACH       ,1
FLO200000                      ,Dyna Flo 20-0-0 Liquid Urea                                                                          ,1.5916,3.19,GAL09.38   ,6
FLO200055                      ,Dyna Flo 20-0-0 Liquid Urea                                                                          ,1.64608,3.62,GAL09.38   ,6
FLO200002                      ,Dyna Flo 20-0-0 Liquid Urea                                                                          ,2.666,3.62,GAL09.38   ,6
FLO301155                      ,Dyna Flo Potassium Nitrate Solution                                                                  ,1.89927,0.0,GAL09.72   ,6
FLO301130                      ,Dyna Flo Potassium Nitrate Solution                                                                  ,2.36333,0.0,GAL09.72   ,6
FLO301105                      ,Dyna Flo Potassium Nitrate Solution                                                                  ,2.28669,0.0,GAL09.72   ,6
FLO301102                      ,Dyna Flo Potassium Nitrate Solution                                                                  ,3.18733,0.0,GAL09.72   ,6
FLO3011250                     ,Dyna Flo Potassium Nitrate Solution                                                                  ,1.53772,0.0,GAL09.72   ,6
GRO131120400                   ,Dyna Gro Nut # 1311204  /  Dyna Gro Nitrate Mix                                                      ,4.7418,4.33,GAL11.60   ,6
GRO1311204250                  ,Dyna Gro Nut # 1311204  /  Dyna Gro Nitrate Mix                                                      ,5.3818,4.63,GAL11.60   ,6
GRONITR250                     ,Dyna Gro Nut # 1311204  /  Dyna Gro Nitrate Mix  - USE GRO1311204                                    ,5.51632,4.63,GAL11.60   ,6
GRONITR00                      ,Dyna Gro Nut # 1311204  /  Dyna Gro Nitrate Mix - USE GRO1311204                                     ,4.87632,4.33,GAL11.60   ,6
MAC0540XV                      ,Dyna Phos 0-54-0 (75% Phosphoric Acid)                                                               ,4.33294,5.4745,LBS        ,6
NO3FE                          ,Iron Nitrate 10%                                                                                     ,0.5434,0.59,LBS        ,6
NO3FEIBC                       ,Iron Nitrate 7% from Spill under mixer                                                               ,0.38286,0.4,LBS        ,6
NO3FE00                        ,Iron Nitrate before 10% dilution                                                                     ,0.48036,0.5,LBS        ,6
REC-NO3FE                      ,Iron Nitrate Solution - receiving to be diluted                                                      ,0.56555,0.6,LBS        ,6
NO3MG60                        ,Magnesium Nitrate 6%                                                                                 ,0.19614,0.197,LBS        ,6
NO3MG63                        ,Magnesium Nitrate 6.3%                                                                               ,0.19107,0.24,LBS        ,6
NO3MN                          ,Manganese Nitrate 15                                                                                 ,0.4395,0.49,LBS        ,6
GROMN00#                       ,Manganese Nitrate 15 - bulk lbs                                                                      ,0.52231,0.57,LBS        ,6
REC-NO3MN                      ,Manganese Nitrate Solution - Receiving item for dilution                                             ,0.44997,0.6,LBS        ,6
PMX14080117                    ,Mangesium Nitrate 6.19%                                                                              ,0.19,0.29,LBS        ,6
NO3NIDRY                       ,Nickel Nitrate 19.8%                                                                                 ,6.52482,6.66,LBS        ,6
PMX1406-0002                   ,Off Spec Calcium Nitrate                                                                             ,0.09233,0.09233,LBS        ,6
NPKPHOS115                     ,Phosphoric Acid 115%                                                                                 ,0.53991,0.595,LBS        ,6
NPKPHOS75                      ,Phosphoric Acid 75%                                                                                  ,0.43125,0.45,LBS        ,6
NPKPHOS85                      ,Phosphoric Acid 85%                                                                                  ,0.47,0.5,LBS        ,6
FLOPHOS8555                    ,Phosphoric Acid 85%                                                                                  ,20.69882,0.0,GAL14.07   ,6
FLOPHOS85250                   ,Phosphoric Acid 85%                                                                                  ,7.4292,0.0,GAL14.07   ,6
REC-NPKPHOS85                  ,Phosphoric Acid 85% - receiving to be diluted                                                        ,0.48017,0.5,LBS        ,6
NPKKNO3BG                      ,Potassium Nitrate Dry Bags 13-0-45 (KN03)                                                            ,0.29,0.3,LBS        ,6
NPKKNO3                        ,Potassium Nitrate Soluble                                                                            ,0.6015,0.6702,LBS        ,6
NPK3012                        ,Potassium Nitrate Solution 12%                                                                       ,0.04909,0.069,LBS        ,6
NPKNANO3                       ,Sodium  Nitrate                                                                                      ,0.22,0.25,LBS        ,6
NPK1600                        ,Sodium Nitrate                                                                                       ,0.45321,0.5,LBS        ,6
NPK1502                        ,Sodium Nitrate 15-0-2                                                                                ,0.67901,0.68,LBS        ,6
NPK600                         ,Sodium Nitrate 6-0-0 Solution                                                                        ,0.41,0.51,LBS        ,6
CHEH2SO4                       ,Sulfuric Acid (66 Baume = 93%)                                                                       ,0.31,0.45,LBS        ,6
NPKUREA50                      ,Urea 46% Dry 50 lb. bags                                                                             ,0.2,0.28,LBS        ,6
NPKU32                         ,Urea Ammonium Nitrate 32%                                                                            ,0.1825,0.195,LBS        ,6
NPKUREA                        ,Urea Dry  46% 1 Ton Bags                                                                             ,0.31,0.3375,LBS        ,6
NO3ZN                          ,Zinc Nitrate 17%                                                                                     ,0.67,0.7,LBS        ,6
