Item,Description,Avg Seasonal Usage,Current Avail,Target Qty,Projected Deficit,Status
NPK0015,KCL Solution 0-0-15.5,"1,310,301.8","53,133.9","1,514,126.5","1,460,992.6",CRITICAL
NO3CA,Calcium Nitrate 11% / CN9,"999,125.6","159,183.4","1,154,545.1","995,361.7",CRITICAL
NPKKNO3,Potassium Nitrate Soluble,"495,834.3","60,197.2","572,964.0","512,766.8",CRITICAL
NPKU32,Urea Ammonium Nitrate 32%,"629,918.4","405,799.8","727,905.7","322,105.9",Warning
NO3MG60,Magnesium Nitrate 6%,"287,216.9","87,885.2","331,895.1","244,010.0",CRITICAL
NPKPHOS75,Phosphoric Acid 75%,"303,653.5","134,964.8","350,888.5","215,923.7",CRITICAL
NPKKCL62,Muriate of Potash,"343,201.7","199,206.6","396,588.7","197,382.1",Warning
NPK02020,0-20-20 Di Potassium Phosphate / Dyna Flo 0-20-20YH,"148,310.9","15,123.2","171,381.5","156,258.3",CRITICAL
CHEGLUCO,Sodium Glucoheptonate  (Plus Freight),"225,256.9","106,268.1","260,296.8","154,028.7",CRITICAL
NPK11370,Ammonium Poly Phosphate 11-37-0,"237,134.9","146,559.4","274,022.5","127,463.1",Warning
NO3ZN,Zinc Nitrate 17%,"196,943.8","103,223.9","227,579.5","124,355.6",Warning
REC-NO3FE,Iron Nitrate Solution - receiving to be diluted,"107,470.0",0.0,"124,187.6","124,187.6",CRITICAL
NO3FE,Iron Nitrate 10%,"158,892.1","70,865.9","183,608.6","112,742.7",CRITICAL
CHEGLUCOGR50CDI,Sodium Glucoheptonate / GR-50 NVM purchased by CDI,"95,036.7",0.0,"109,820.1","109,820.1",CRITICAL
NO3CA12,Calcium Nitrate 12%,"165,212.3","95,173.5","190,912.0","95,738.5",Warning
NPKUREA,Urea Dry  46% 1 Ton Bags,"82,901.4","22,528.3","95,797.2","73,268.9",CRITICAL
SO4BORIC,Boric Acid - 17.4%  Dry,"83,697.9","33,449.1","96,717.5","63,268.4",CRITICAL
REC-NO3MN,Manganese Nitrate Solution - Receiving item for dilution,"44,250.3",0.0,"51,133.7","51,133.7",CRITICAL
REC-SO4FELIQ,Iron Sulfate Solution - receiving to be diluted,"43,900.1",0.0,"50,729.0","50,729.0",CRITICAL
GRPHUMICLIQ,Humic Acid Liquid-Borresol 22%,"64,469.8","27,088.0","74,498.5","47,410.5",CRITICAL
REC-CL2CA,Calcium Chloride - receiving for dilution,"39,679.9",0.0,"45,852.4","45,852.4",CRITICAL
REC-NPKPHOS85,Phosphoric Acid 85% - receiving to be diluted,"35,460.0",0.0,"40,976.0","40,976.0",CRITICAL
REC-NO3CU,Copper Nitrate Solution - Receiving item for dilution,"33,740.0",0.0,"38,988.4","38,988.4",CRITICAL
NPKKTS,Potassium Thiosulfate 0-0-25 17 KTS,"45,125.0","15,140.6","52,144.4","37,003.8",CRITICAL
NPKAQUA,Aqua Ammonia 23%,"41,479.5","17,949.8","47,931.9","29,982.1",CRITICAL
NO3CU,Copper Nitrate 14%,"61,633.8","44,637.7","71,221.3","26,583.6",Warning
SO4FEDRY19,Iron Sulfate 19%,"30,026.4","11,257.8","34,697.2","23,439.4",CRITICAL
EDTAZN,Zinc EDTA 9%,"19,633.7","3,990.8","22,687.8","18,697.0",CRITICAL
NPKAWAKEN,Awaken 16-0-2,"12,200.0",0.0,"14,097.8","14,097.8",CRITICAL
MISCH2O2,Hydrogen Peroxide 32%,"12,759.9","1,870.1","14,744.8","12,874.7",CRITICAL
NPKKOHLIQ,Potassium Hydroxide KOH Liquid 45%,"9,302.4",11.2,"10,749.4","10,738.2",CRITICAL
PREMIX400,MAC727YM5 bad,"7,704.0",0.0,"8,902.4","8,902.4",CRITICAL
SO4MN32,manganese sulfate 32%,"34,165.0","31,504.1","39,479.6","7,975.5",Warning
EDTACU,Copper EDTA Liquid 6%,"7,153.2","1,041.5","8,265.9","7,224.4",CRITICAL
NO3MG63,Magnesium Nitrate 6.3%,"61,764.2","64,214.1","71,372.0","7,157.9",Warning
NPKKOHDRY,Potassium Hydroxide KOH Dry 90%,"47,186.9","48,079.9","54,527.1","6,447.3",Warning
NPKAWAKENCON,AWAKEN 16-0-2 - Consignment - use this item for manufacturing,"8,172.8","3,201.7","9,444.1","6,242.4",CRITICAL
EDTAMN,"Manganese EDTA 6% (do not order, make item)","7,078.5","2,434.7","8,179.6","5,745.0",CRITICAL
CHEMONETH,Monoethanolamine MEA,"37,821.3","38,081.4","43,704.7","5,623.3",Warning
CHEH2SO4,Sulfuric Acid (66 Baume = 93%),"4,682.5",495.6,"5,410.9","4,915.3",CRITICAL
GRPFISHEM,Omega Grow Fish Emulsion Protein 4-1-1,"4,275.0",450.8,"4,940.0","4,489.2",CRITICAL
THIOCACDI,Calcium Thiosulfate,"18,216.2","16,890.8","21,049.8","4,159.0",Warning
NPK0030CDI,Dyna Flo 0-0-30 Potassium Carbonate,"3,914.3","1,220.3","4,523.2","3,302.8",CRITICAL
PMX1401-0005,N-Sure 10.63 lbs/gal,"1,978.7",0.0,"2,286.5","2,286.5",CRITICAL
GRPTRAINER,Trainer Amino Acids,"3,150.4","1,637.1","3,640.5","2,003.3",Warning
CHEMOLASS,Molasses,"14,965.4","15,765.7","17,293.3","1,527.6",Warning
CHEACETIC,Glacial Acetic Acid,958.4,260.0,"1,107.4",847.4,CRITICAL
SO4FELIQ,Iron Sulphate Liquid 10%,"8,417.4","8,933.4","9,726.8",793.4,Warning
NPK600,Sodium Nitrate 6-0-0 Solution,"1,262.0",761.0,"1,458.3",697.3,Warning
GRPSEAEX,Soluble Seaweed Extract,"20,648.5","23,405.5","23,860.5",455.0,Warning
MISCDEFOAM,Defoamer,560.0,400.0,647.1,247.1,Warning
SO4MN,Tech Magnum Manganses Sulfate,243.2,80.0,281.0,201.0,CRITICAL
