ITEMNMBR,VENDORID,VendorDesc,OfferPrice,VendorUOM,ITEMDESC,SystemCost,AvgSellingPrice,SourcingDiff,SourcingPct,FlipMargin,FlipMarginPct
FREIGHT                        ,TAYLORSFORKLIFT,Freight Charge:                                                                                      ,14.5,         ,Freight Charge:                                                                                      ,33.5,1185.0,19.0,56.71641791044776,1170.5,98.77637130801688
FREIGHT                        ,EPAKINC        ,Freight Charge:                                                                                      ,16.04,         ,Freight Charge:                                                                                      ,33.5,1185.0,17.46,52.11940298507463,1168.96,98.64641350210971
FREIGHT                        ,MOTION         ,Freight Charge:                                                                                      ,18.31,         ,Freight Charge:                                                                                      ,33.5,1185.0,15.190000000000001,45.343283582089555,1166.69,98.45485232067512
FREIGHT                        ,ULINE          ,Freight Charge:                                                                                      ,43.61,         ,Freight Charge:                                                                                      ,33.5,1185.0,-10.11,-30.17910447761194,1141.39,96.31983122362871
FLO021202                      ,NACHRSAL       ,                                                                                                     ,2.0257,         ,Dyna Flo K-Sil 0-2-12 w/ silicates                                                                   ,19.656,25.9,17.6303,89.69424094424095,23.874299999999998,92.17876447876448
PMX1401-0005                   ,AGRIBUSTEC     ,Aqua Ammonia (off spec)                                                                              ,0.04229,         ,N-Sure 10.63 lbs/gal                                                                                 ,0.52117,0.5212,0.47888000000000003,91.88556517067367,0.47891,91.88603223330776
CHEGLUCOGR50CDI                ,DREXELCHEMICAL ,Sodium Glucoheptonate                                                                                ,0.04696,         ,Sodium Glucoheptonate / GR-50 NVM purchased by CDI                                                   ,0.36,0.485,0.31304,86.95555555555555,0.43804,90.31752577319587
ZZ250GAL                       ,CROPPROD       ,250 Gallon IBC                                                                                       ,20.0,         ,250 Gallon IBC                                                                                       ,125.0,143.333333,105.0,84.0,123.33333300000001,86.046511595457
PHURYMG02                      ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,1.67417,         ,pHury w/Magnesium                                                                                    ,5.536,11.25,3.8618299999999994,69.75848988439306,9.57583,85.11848888888889
PHURYMG02                      ,PRODICAL       ,                                                                                                     ,1.67417,         ,pHury w/Magnesium                                                                                    ,5.536,11.25,3.8618299999999994,69.75848988439306,9.57583,85.11848888888889
GPNZONE                        ,AEFGLOBAL      ,BerryCare                                                                                            ,12.0,         ,N Zone                                                                                               ,72.0,76.799745,60.0,83.33333333333334,64.799745,84.37494811994493
FLOMOLA30                      ,TESSENDE       ,                                                                                                     ,1.94764,         ,Dyna Flo Molasses / Xtreme Brix  / Bay Cane Molasses / JRM Molasses                                  ,1.69333,6.9625,-0.25431000000000004,-15.018336650269,5.0148600000000005,72.0267145421903
FLOMOLA05                      ,TESSENDE       ,                                                                                                     ,1.95606,         ,Dyna Flo Molasses / Xtreme Brix / Bay Cane Molasses / JRM Molasses                                   ,2.8255,6.55,0.86944,30.7711909396567,4.59394,70.13648854961832
FLOMOLA55                      ,TESSENDE       ,                                                                                                     ,1.95606,         ,Dyna Flo Molasses / Xtreme Brix / Bay Cane Molasses / JRM Molasses                                   ,1.62073,6.127272,-0.3353299999999999,-20.690059417669808,4.171212,68.0761683176461
