ITEMNMBR,VENDORID,VendorDesc,OfferPrice,VendorUOM,ITEMDESC,SystemCost,AvgSellingPrice,SourcingDiff,SourcingPct
GRPVIT                         ,A1SUPPLEMENTS  ,Vitamins                                                                                             ,0.0598,         ,Vitamins                                                                                             ,30.55952,,30.49972,99.80431629816175
GRPVIT                         ,SUPPLE         ,Vitamins                                                                                             ,0.08336,         ,Vitamins                                                                                             ,30.55952,,30.47616,99.72722084640073
NPKAVAIL                       ,PCSSALES       ,46% Urea Bulk Bags                                                                                   ,0.3545,         ,Avail                                                                                                ,16.07126,,15.716759999999999,97.79419908582152
NPKAVAIL                       ,TRADEMAR       ,46% Urea Bulk Bags                                                                                   ,0.3545,         ,Avail                                                                                                ,16.07126,,15.716759999999999,97.79419908582152
GPGANTEC01                     ,CHEMSPEC       ,Copper Count N                                                                                       ,11.75387,         ,Gantec Berry                                                                                         ,522.56,,510.80612999999994,97.75071379363135
GPGANTEC01                     ,MORSES ENT     ,                                                                                                     ,11.75387,         ,Gantec Berry                                                                                         ,522.56,,510.80612999999994,97.75071379363135
GPGANTEC01                     ,               ,                                                                                                     ,11.75387,         ,Gantec Berry                                                                                         ,522.56,,510.80612999999994,97.75071379363135
NO3NIDRY                       ,HARRELLS       ,                                                                                                     ,0.24,         ,Nickel Nitrate 19.8%                                                                                 ,6.52482,,6.28482,96.32173761115249
FLOCACHL00                     ,ECOPRODUCT     ,Calcium Chloride Liquid 13.7%                                                                        ,0.06996,         ,Dyna Flo Calcium Chloride                                                                            ,1.86601,,1.79605,96.25082395056832
FLOCACHL00                     ,BRENNTAG       ,                                                                                                     ,0.06996,         ,Dyna Flo Calcium Chloride                                                                            ,1.86601,,1.79605,96.25082395056832
FLOCACHL00                     ,TETRACHE       ,Calcium Chloride 12%                                                                                 ,0.06996,         ,Dyna Flo Calcium Chloride                                                                            ,1.86601,,1.79605,96.25082395056832
NPKAGROTAIN                    ,TRADEMAR       ,46% Urea Bulk Bags                                                                                   ,0.26,         ,Agrotain Ultra                                                                                       ,6.85591,,6.59591,96.20765150067606
NPKAGROTAIN                    ,PCSSALES       ,46% Urea Bulk Bags                                                                                   ,0.26,         ,Agrotain Ultra                                                                                       ,6.85591,,6.59591,96.20765150067606
FLOCACHL55                     ,TETRACHE       ,Calcium Chloride 12%                                                                                 ,0.06996,         ,Dyna Flo Calcium Chloride                                                                            ,1.7183,,1.64834,95.92853401617877
FLOCACHL55                     ,BRENNTAG       ,                                                                                                     ,0.06996,         ,Dyna Flo Calcium Chloride                                                                            ,1.7183,,1.64834,95.92853401617877
FLOCACHL55                     ,ECOPRODUCT     ,Calcium Chloride Liquid 13.7%                                                                        ,0.06996,         ,Dyna Flo Calcium Chloride                                                                            ,1.7183,,1.64834,95.92853401617877
GRPFOLIC                       ,QUIMICA        ,                                                                                                     ,1.42213,         ,Folic Acid Dry                                                                                       ,32.0,,30.57787,95.55584375000001
FLO021202                      ,NACHRSAL       ,                                                                                                     ,2.0257,         ,Dyna Flo K-Sil 0-2-12 w/ silicates                                                                   ,19.656,25.9,17.6303,89.69424094424095
FREIGHT CHARGE                 ,CHEMICAL       ,Freight Charge                                                                                       ,125.0,         ,Freight Charge                                                                                       ,1205.0,,1080.0,89.62655601659752
GRPASCORBIC                    ,QUIMICA        ,                                                                                                     ,1.42213,         ,Ascorbic Acid Dry                                                                                    ,12.50067,,11.07854,88.62356977665998
MISCAG                         ,BRENNTAG       ,Sulfochem SLS                                                                                        ,0.45,         ,Colloidal Silver                                                                                     ,3.59495,,3.1449499999999997,87.48244064590605
MISCAG                         ,VANWATER       ,Sulfochem SLS                                                                                        ,0.45,         ,Colloidal Silver                                                                                     ,3.59495,,3.1449499999999997,87.48244064590605
FLOZNCHL02                     ,ECOPRODUCT     ,Calcium Chloride Liquid 13.7%                                                                        ,1.807,         ,Dyna Flo Zinc Chloride Liquid 30.6%                                                                  ,12.336,,10.529,85.3518158236057
FLOZNCHL02                     ,BRENNTAG       ,                                                                                                     ,1.807,         ,Dyna Flo Zinc Chloride Liquid 30.6%                                                                  ,12.336,,10.529,85.3518158236057
FLOZNCHL02                     ,TETRACHE       ,Calcium Chloride 12%                                                                                 ,1.807,         ,Dyna Flo Zinc Chloride Liquid 30.6%                                                                  ,12.336,,10.529,85.3518158236057
GEOCARB62502                   ,OMEGAPROTEIN   ,Omega Grow Fish Emulsion 5-1-1                                                                       ,0.30618,         ,Vented/White- Carbotein 6-2-5  /  **** Do Not Use - use repack02 in talls only                       ,1.94,,1.63382,84.21752577319587
ZZ250GAL                       ,CROPPROD       ,250 Gallon IBC                                                                                       ,20.0,         ,250 Gallon IBC                                                                                       ,125.0,143.333333,105.0,84.0
GRPNANOPRO02                   ,AEFGLOBAL      ,FungOut                                                                                              ,12.0,         ,NanoPro                                                                                              ,72.0,,60.0,83.33333333333334
GPNZONE                        ,AEFGLOBAL      ,BerryCare                                                                                            ,12.0,         ,N Zone                                                                                               ,72.0,76.799745,60.0,83.33333333333334
PHURYPHOS00                    ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,1.0374,         ,pHury Phos                                                                                           ,6.10811,,5.07071,83.01602295963892
PHURYPHOS00                    ,PRODICAL       ,                                                                                                     ,1.0374,         ,pHury Phos                                                                                           ,6.10811,,5.07071,83.01602295963892
FLOFULVIC250                   ,TESSENDE       ,                                                                                                     ,3.99681,         ,Dyna Flo Fulvic Acid Liquid 30%                                                                      ,23.4942,,19.49739,82.98809919043849
NPKPHOSDRYCDI                  ,PCSSALES       ,Phosphoric Acid 75%                                                                                  ,0.43902,         ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,,1.7609800000000002,80.04454545454546
NPKPHOSDRYCDI                  ,BELLCHEM       ,Phosphoric Acid 75%                                                                                  ,0.43902,         ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,,1.7609800000000002,80.04454545454546
NPKPHOSDRYCDI                  ,CROPPROD       ,Phosphoric Acid 75%                                                                                  ,0.43902,         ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,,1.7609800000000002,80.04454545454546
NPKPHOSDRYCDI                  ,NACHRSAL       ,Phosphoric Acid 75%                                                                                  ,0.43902,         ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,,1.7609800000000002,80.04454545454546
NPKPHOSDRYCDI                  ,"CHEMSOL, LLC   ",Phosphoric Acid 75%                                                                                  ,0.43902,         ,Phosphorous Acid 99% P2O5 85%                                                                        ,2.2,,1.7609800000000002,80.04454545454546
