Batch ID,Item Number,Site ID,Trx Date,Trx Qty,Unit Cost,Reason Code
YE_CLOSE_2025,AEFBERRYCR02,MAIN,10/01/2025,-180.0,12.0,YE COUNT
YE_CLOSE_2025,AEFBIOPRO02,MAIN,10/01/2025,-25.0,40.0,YE COUNT
YE_CLOSE_2025,AGBCB50#,MAIN,10/01/2025,-200.0,0.47755,YE COUNT
YE_CLOSE_2025,CAL8+02,MAIN,10/01/2025,-5.0,5.393,YE COUNT
YE_CLOSE_2025,CEIABIO02,MAIN,10/01/2025,45.0,16.793,YE COUNT
YE_CLOSE_2025,CEIAGREEN02,MAIN,10/01/2025,-15.0,6.12083,YE COUNT
YE_CLOSE_2025,CEIAKARBUP02,MAIN,10/01/2025,-27.5,9.64067,YE COUNT
YE_CLOSE_2025,CHEAGFX1CDI,MAIN,10/01/2025,-2877.0,0.0,YE COUNT
YE_CLOSE_2025,CHECITRIC,MAIN,10/01/2025,-1869.369999999999,0.95,YE COUNT
YE_CLOSE_2025,CHEGLUATEDRY,MAIN,10/01/2025,-66.0,1.84,YE COUNT
YE_CLOSE_2025,CHEGLUCO,MAIN,10/01/2025,868.9519999999975,0.38764,YE COUNT
YE_CLOSE_2025,CHEH2SO4,MAIN,10/01/2025,78.76999999999998,0.39342,YE COUNT
YE_CLOSE_2025,CHELIGLIQ,MAIN,10/01/2025,-117.05000000000109,0.50932,YE COUNT
YE_CLOSE_2025,CHEMALEIC,MAIN,10/01/2025,-614.0,0.84514,YE COUNT
YE_CLOSE_2025,CHEMOLASS,MAIN,10/01/2025,5023.0,0.11414,YE COUNT
YE_CLOSE_2025,CHEMONETH,MAIN,10/01/2025,-1068.9999999999927,0.88,YE COUNT
YE_CLOSE_2025,CHEMONETHCON,MAIN,10/01/2025,-43260.0,0.0,YE COUNT
YE_CLOSE_2025,CHESORB,MAIN,10/01/2025,3.6899999999996,0.6477,YE COUNT
YE_CLOSE_2025,CL2CA34,MAIN,10/01/2025,-17.799999999999955,0.42416,YE COUNT
YE_CLOSE_2025,CL2CALIQ,MAIN,10/01/2025,-548.0,0.096,YE COUNT
YE_CLOSE_2025,CL2MG,MAIN,10/01/2025,-4400.0,0.14,YE COUNT
YE_CLOSE_2025,CL2ZNLIQ,MAIN,10/01/2025,-2135.0,0.74138,YE COUNT
YE_CLOSE_2025,DYNASURF02,MAIN,10/01/2025,-270.0,8.00789,YE COUNT
YE_CLOSE_2025,EDTAACID,MAIN,10/01/2025,469.29999999999995,1.20847,YE COUNT
YE_CLOSE_2025,EDTACA,MAIN,10/01/2025,-45.43828,8.0,YE COUNT
YE_CLOSE_2025,EDTACU,MAIN,10/01/2025,20.19000000000017,0.91379,YE COUNT
YE_CLOSE_2025,EDTAFEHE,MAIN,10/01/2025,503.0,1.63002,YE COUNT
YE_CLOSE_2025,EDTAMG,MAIN,10/01/2025,-10.490000000000009,0.57842,YE COUNT
YE_CLOSE_2025,EDTAMN,MAIN,10/01/2025,26.689999999999742,0.95624,YE COUNT
